KOR,ENG
안녕?,Hello?
만나서 반가워.,Nice to meet you.
이름이 뭐야?,What is your name?
이름,name
어디에서 왔어?,Where are you from?
어느 나라에서 왔어?,Where are you from?
뭐 해?,What are you doing?
뭐 먹어?,What are you eating?
자는거야?,Are you sleeping?
나는 자고 있어.,I am sleeping.
어떻게 해?,How to do?
고기,meet
새,bird
개,dog
고양이,cat
사람,person
남자,man
여자,woman
그,he
그녀,she
그들,they
소년,boy
소녀,girl
아침 식사,breakfast
점심 식사,lunch
저녁 식사,dinner
생선,fish
물고기,fish
수영,swimming
돼지고기,pork
소고기,beef
저 사람은 뭐 하고 있어?,What is the person doing?
저 새는 뭐 하고 있어?,What is the bird doing?
저 사람은 뭐 먹고 있어?,What is the person eating?
저 새는 뭐 먹고 있어?,What is the bird eating?
나는 아침 식사를 하고 있어.,I am having breakfast.
그는 점심 식사를 하고 있어.,He is having lunch.
그녀는 저녁 식사를 하고 있어.,She is having dinner.
그들은 아침 식사를 하고 있어.,They are having breakfast.
그들은 점심 식사를 하고 있어.,They are having lunch.
그들은 저녁 식사를 하고 있어.,They are having dinner.
나는 개를 좋아해.,I like dogs.
나는 새를 좋아해.,I like birds.
나는 고기를 좋아해.,I like meat.
나는 고기야.,I am meat.
그는 고양이야.,He is a cat.
그녀는 고양이야.,She is a cat.
고양이들은 생선을 먹어.,Cats eat fish.
개들은 고기를 먹어.,Dogs eat meat.
그녀는 고양이를 좋아해.,She likes cats.
그녀는 개를 좋아해.,She likes dogs.
그는 개를 좋아해.,He likes dogs.
저 개는 자고 있어.,The dog is sleeping.
고양이들은 생선을 좋아해.,Cats like fish.
개들은 고기를 좋아해.,Dogs like meat.
고양이들은 자는것을 좋아해.,Cats like to sleep.
고양이는 새를 먹어.,Cats eat birds.
그는 고기를 좋아해.,He likes meat.
그녀는 고기를 좋아해.,She likes meat.
그는 자고 있어.,He is sleeping.
그는 축구를 하고 있어.,He is playing soccer.
그는 야구를 하고 있어.,He is playing baseball.
나는 생선이야.,I am a fish.
그는 생선을 좋아해.,He likes fish.
그는 물고기를 좋아해.,He likes fish.
그녀는 생선을 좋아해.,She likes fish.
그녀는 물고기를 좋아해.,She likes fish.
그는 TV를 보고 있어.,He is watching TV.
뭐 보고 있어?,Wat are you watching?
그는 축구를 좋아해.,He likes soccer.
그녀는 야구를 좋아해.,She likes baseball.
나는 고기를 먹어.,I eat meat.
저 물고기는 뭐 먹어?,What is the fish eating?
나는 밥을 먹고 있어.,I am eating meal.
밥,meal
그는 뭐 먹고 있어?,What is he eating?
그는 뭐 하고 있어?,What is he doing?
그녀는 뭐 먹고 있어?,What is she eating?
그녀는 뭐 하고 있어?,What is she doing?
나는 소년이야.,I am a boy.
나는 소녀야.,I am a girl.
그녀는 여자야.,She is a woman.
그는 남자야.,He is a man.
그는 수영을 하고 있어.,He is swimming.
그녀는 수영을 하고 있어.,She is swimming.
나는 수영을 하고 있어.,I am swimming.
그들은 수영을 하고 있어.,They are swimming.
그는 돼지고기를 좋아해.,He likes pork.
그녀는 돼지고기를 좋아해.,She likes pork.
그는 소고기를 좋아해.,He likes beef.
그녀는 소고기를 좋아해.,She likes beef.
저 남자는 소고기를 좋아해.,The man likes beef.
저 남자는 소고기를 먹고 있어.,The man is eating beef.
저 남자는 뭐 하고 있어?,What is the man doing?
저 여자는 뭐 하고 있어?,What is the woman doing?
나는 소고기를 먹고 있어.,I am eating beef.
나는 생선을 먹고 있어.,I am eating fish.
나는 소고기를 좋아해.,I like beef.
나는 돼지고기를 좋아해.,I like pork.
그는 달리고 있어.,He is running.
그들은 소고기를 좋아해.,They like beef.
그들은 돼지고기를 좋아해.,They like pork.
그들은 아침 식사를 하고 있어.,They are having breakfast.
그들은 점심 식사를 하고 있어.,They are having lunch.
그들은 저녁 식사를 하고 있어.,They are having dinner.
그들은 무엇을 하고 있어?,What are they doing?
그들은 무엇을 먹고 있어?,What are they eating?
그들은 고양이를 좋아해.,They like cats.
그들은 개를 좋아해.,They like dogs.
저 고양이는 여자야.,The cat is a woman.
저 개는 남자야.,The dog is a man.
저 개는 고기를 좋아해.,The dog likes meat.
저 고양이는 생선을 좋아해.,The cat likes fish.
소고기는 고기야.,Beef is meat.
돼지고기는 고기야.,Pork is meat.
고양이는 고양이야.,A cat is a cat.
개는 개야.,A dog is a dog.
남자는 남자야.,A man is a man.
여자는 여자야.,A woman is a woman.
자연,nature
언어,language
처리,processing
자연어,natural language
기계,machine
학습,learning
자연어 처리는 흥미로워.,Natural language processing is interesting.
자연어 처리는 흥미롭습니다.,Natural language processing is interesting.
수학,mathematics
공학,engineering
수학은 흥미로워.,Mathematics is interesting.
수학은 흥미롭습니다.,Mathematics is interesting.
좋은 아침.,good morning
아침,morning
저녁,evening
밤,night
맛있어,delicious
어두워,dark
아침은 어둡지 않아.,morning is not dark.
남자는 여자가 아니야.,A man is not a woman.
돼지고기는 소고기가 아니야.,Pork is not beef.
소고기는 돼지고기가 아니야.,Beef is not pork.
밤은 어두워.,night is dark.
그는 수학을 좋아해.,He likes mathematics.
그녀는 수학을 좋아해.,She likes mathematics.
그들은 수학을 좋아해.,They like mathematics.
그들은 공학을 좋아해.,They like engineering.
공학은 수학이야.,Engineering is mathematics.
자연어 처리는 기계 학습이야.,Natural language processing is machine learning.
자연어는 언어야.,Natural language is language.






